Term,Description
alternative hypothesis,"The alternative hypothesis, denoted as $H_1$ or $H_a$, on the other hand, proposes that there is an effect or a difference. Again, more formally, we can state that $\mu \ne \mu_{0}$"
confidence interval,"A confidence interval is an estimated range, based on a sample, that is likely to contain the true population parameter (such as the mean). If the sampling process were repeated many times, approximately $(1 - \alpha) \cdot 100$ \% of the resulting intervals would contain the true parameter. The value of $\alpha$ determines the confidence level -- for example, $\alpha = 0.05$ corresponds to a 95\% confidence level, while $\alpha = 0.01$ corresponds to 99\%"
confidence level,"The confidence level is the proportion of confidence intervals, constructed from repeated random samples of the same population using the same method, that are expected to contain the true population parameter. It is denoted by $1 - \alpha$, where $\alpha$ is the significance level. For example, a 95\% confidence level implies that 95\% of such intervals would contain the true parameter in the long run."
critical value,"The critical value is a threshold that determines the boundary for rejecting the null hypothesis (H$_0$) in a hypothesis test. It is a point on the probability distribution of the test statistic beyond which the null hypothesis is rejected. The critical value is chosen based on the significance level ($\alpha$) of the test, which represents the probability of making a Type I error (i.e., rejecting a true null hypothesis)"
effect size,The magnitude of the difference or relationship. Larger effects are easier to spot and usually more practically important
hypothesis,"In statistics, a hypothesis is a formal statement about a population parameter or relationship between variables. Hypotheses guide statistical tests to determine whether data support or refute them. The hypothesis suggesting an effect or difference is called the alternative hypothesis. The alternative hypothesis is always paired with a null-hypothesis, suggesting no effect or difference"
null hypothesis,"The null hypothesis, denoted as $H_0$, typically asserts that there is no effect or no difference -- it serves as the point of comparison in the significance test. It thus assumes that the population value is equal to a specific value that indicates no effect. More formally, we can can note this as $H_{0}: \mu = \mu_{0}$"
power,"Also known as ""sensitivity"". It is the probability that a test will detect a true effect (reject $H_0$ when it is false). Power grows with larger effects and larger samples, and shrinks when you demand stronger evidence (smaller $\alpha$) or when variability is high"
p-value,"The p-value indicates the probability of obtaining a result equal to, or even more extreme than the observed value in the direction of the alternative hypothesis, assuming the null hypothesis is true. Common thresholds for significance are 0.05, 0.01, and 0.001. A smaller p-value suggests stronger evidence against the null hypothesis. The p-value is denoted as $p$"
significance level,"The significance level, denoted by $\alpha$, is the threshold used in hypothesis testing to determine if a result is statistically significant. It represents the probability of rejecting the null hypothesis when it's actually true (a Type I error). Common levels are 0.05 or 0.01, indicating 5\% or 1\% risk. We will cover this properly in Week 9."
significance test,"A significance test is a statistical method used to determine whether observed data provide enough evidence to reject a null hypothesis. It calculates a probability of observing data as extreme as, or more extreme than, the actual sample results, assuming the null hypothesis is true"
test statistic,"A test statistic is a value calculated from the sample data that is used to decide whether to reject the null hypothesis (H$_0$) in a hypothesis test. It quantifies the degree to which the observed data diverges from what is expected under the null hypothesis. In a t-test, the test statistic is a t-value, which measures the distance between the sample mean and the (hypothesised) population mean, expressed in units of standard errors"
Type I Error,"A Type I Error occurs when a null hypothesis (H$_0$) that is actually true is incorrectly rejected. It is also known as a false positive errors, as it suggests that an effect of difference exists, when, in fact, it does not. The probability of committing a Type I Error is denoted by the significance level ($\alpha$) of the test, which is typically set before conducting the test (e.g. $\alpha$ = 0.05). This means that there is a 5\% chance of rejecting the true null hypothesis"
Type II Error,"A Type II Error occurs when a null hypothesis (H$_0$) that is actually false is incorrectly accepted (or not rejected). It is also known as a false negative error, as it suggests that no effect or difference exists when, in fact, there is one"
